FileName	timeStamp	TID	VDDA_vs_LDOA_disc_x	VDDA_vs_LDOA_disc_y	VDDD_vs_LDOD_disc_x	VDDD_vs_LDOD_disc_y	TRDACp0	TRDACp1	VRefp0	VRefp1
VJCVPXH_008_MUX_INT_data_20190121_095745.root	0	0	6.92091e-310	6.95259e-310	4.73746e+179	1.28457e-322	6.95259e-310	6.92089e-310	1.28457e-322	4.68962e-310
VJCVPXH_008_MUX_INT_data_20190121_102035.root	0	0	6.92091e-310	6.95259e-310	4.73746e+179	1.28457e-322	6.95259e-310	6.92089e-310	1.28457e-322	4.68962e-310
VJCVPXH_008_MUX_INT_data_20190121_103212.root	0	0	6.92091e-310	6.95259e-310	4.73746e+179	1.28457e-322	6.95259e-310	6.92089e-310	1.28457e-322	4.68962e-310
VJCVPXH_008_MUX_INT_data_20190121_111141.root	111141	0.387	9.63465	2737.69	9.56056	2692.81	258.057	10.9056	351.5	11.252
VJCVPXH_008_MUX_INT_data_20190121_115157.root	115157	0.778	10.8099	2735.37	9.6737	2689.44	260.085	10.932	363.773	11.3514
VJCVPXH_008_MUX_INT_data_20190121_123145.root	123145	1.168	10.2836	2691.26	10.2626	2628.01	254.852	10.7878	346.517	11.0957
VJCVPXH_008_MUX_INT_data_20190121_131157.root	131157	1.559	10.2758	2676.74	10.2622	2646	254.858	10.7753	380.938	9.96774
VJCVPXH_008_MUX_INT_data_20190121_135153.root	135153	1.946	9.64295	2677.45	9.5458	2675.65	254.54	10.7132	344.937	11
VJCVPXH_008_MUX_INT_data_20190121_143206.root	143206	2.337	9.59914	2669.95	10.2825	2626.34	252.477	10.3865	334.307	11.1899
VJCVPXH_008_MUX_INT_data_20190121_151207.root	151207	2.724	9.54644	2671.33	9.59059	2626.07	253.551	10.6862	343.295	10.9527
VJCVPXH_008_MUX_INT_data_20190121_155217.root	155217	3.114	9.49405	2659.51	9.57484	2614.08	252.341	10.5849	340.972	10.8829
VJCVPXH_008_MUX_INT_data_20190121_163150.root	163150	3.505	8.79218	2685.05	8.88015	2639.81	252.858	10.6463	342.443	10.9049
VJCVPXH_008_MUX_INT_data_20190121_171138.root	171138	3.892	9.31506	2697.73	8.84029	2661.69	254.102	10.6749	344.409	10.9434
VJCVPXH_008_MUX_INT_data_20190121_175202.root	175202	4.282	8.63306	2684.86	9.44101	2636.88	251.938	10.6169	341.994	10.8734
VJCVPXH_008_MUX_INT_data_20190121_183222.root	183222	4.67	7.95601	2650.73	8.73476	2612.38	247.46	10.4038	335.25	10.7238
VJCVPXH_008_MUX_INT_data_20190121_191211.root	191211	5.057	7.12666	2736.31	5.8399	2723.18	253.034	10.6934	344.312	10.9052
VJCVPXH_008_MUX_INT_data_20190121_195218.root	195218	5.444	6.30514	2806.85	6.39421	2767.85	256.761	10.8158	347.693	11.1307
VJCVPXH_008_MUX_INT_data_20190121_203213.root	203213	5.831	6.2443	2835.85	5.04743	2806.23	257.688	10.8649	338.33	12.9344
VJCVPXH_008_MUX_INT_data_20190121_211945.root	211945	6.222	4.91943	2841.18	4.20098	2803.79	254.437	10.7177	366.557	10.581
VJCVPXH_008_MUX_INT_data_20190121_215919.root	215919	6.609	3.05374	2893.68	3.12959	2846.35	254.443	10.7416	345.557	11.0205
VJCVPXH_008_MUX_INT_data_20190121_223948.root	223948	7	3.29216	2847.08	3.38536	2805.15	251.091	10.6151	340.631	10.8867
VJCVPXH_008_MUX_INT_data_20190122_020041.root	20041	8.946	2.99066	3002.71	1.39351	2813.88	254.636	10.7755	345.67	11.0535
VJCVPXH_008_MUX_INT_data_20190122_024045.root	24045	9.333	3.02257	2998.61	2.56076	2587.93	256.239	10.4019	344.432	11.0165
VJCVPXH_008_MUX_INT_data_20190122_032033.root	32033	9.72	3.09192	2998.24	2.55536	2585.02	253.75	10.6673	343.722	10.9696
VJCVPXH_008_MUX_INT_data_20190122_040058.root	40058	10.111	3.55719	2961.84	3.08131	2737.36	250.983	10.5959	340.682	10.8693
VJCVPXH_008_MUX_INT_data_20190122_044112.root	44112	10.498	3.62527	3023.27	3.96512	3000.26	256.17	10.8136	347.562	11.1472
VJCVPXH_008_MUX_INT_data_20190122_052136.root	52136	10.885	3.74649	3000.46	3.07422	2783.74	246.244	11.0447	347.489	10.7346
VJCVPXH_008_MUX_INT_data_20190122_060207.root	60207	11.276	3.74071	2960.99	5.38851	2536.7	250.199	10.5759	391.926	8.62372
VJCVPXH_008_MUX_INT_data_20190122_064207.root	64207	11.663	3.73442	3000.47	5.84709	2894.65	253.398	10.7203	343.96	11.0247
VJCVPXH_008_MUX_INT_data_20190122_072206.root	72206	12.054	3.72679	3013.39	5.1617	2733.78	254.091	10.7199	344.136	11.0073
VJCVPXH_008_MUX_INT_data_20190122_080147.root	80147	12.441	3.75292	2994.33	3.9565	2984.52	243.097	12.3405	341.858	10.8902
VJCVPXH_008_MUX_INT_data_20190122_084213.root	84213	12.828	3.75696	3043.62	5.14835	2770.02	256.597	10.8305	347.619	11.1435
VJCVPXH_008_MUX_INT_data_20190122_092258.root	92258	13.216	4.26301	3019.68	5.83997	2926.21	255.648	10.7969	347.119	11.0971
VJCVPXH_008_MUX_INT_data_20190122_100243.root	100243	13.603	4.34718	3034.51	4.36265	2086.19	256.108	10.864	348.006	11.0924
VJCVPXH_008_MUX_INT_data_20190122_104256.root	104256	13.993	4.3341	2994.06	9.10143	2569.91	253.102	10.699	342.568	10.9956
VJCVPXH_008_MUX_INT_data_20190122_112239.root	112239	14.384	4.30069	3042.06	5.15079	2770.19	300.511	9.26741	348.006	11.1549
VJCVPXH_008_MUX_INT_data_20190122_120259.root	120259	14.774	4.38337	2992.95	5.08641	2430.2	252.949	10.7533	343.722	10.9756
